local_current_A,local_current_B,local_current_C,local_ir,local_voltage_A,local_voltage_B,local_voltage_C,remote_current_A,remote_current_B,remote_current_C,remote_ir,remote_voltage_A,remote_voltage_B,remote_voltage_C,fault_type
9257.230643048099,2318.118490916335,1944.191311698191,9188.05238879213,110974.97964313897,242437.0907958525,241015.18161542976,2076.166664862763,2092.2235427664295,1883.454967727105,1839.6672174130636,194004.18006822298,227690.09693848345,223854.2564729456,0
9556.343289695336,2325.9885820377835,1928.9989762208522,9145.168581936825,110820.18685407327,242656.26565178364,240619.13377426023,2124.5896138798967,2141.1717252823487,1769.6435031330432,1574.4230335320924,194185.83255808725,227707.70089212953,223820.39729604154,0
9968.713222970699,2105.749852699369,1705.5557472280786,9571.283519088794,112827.88080371378,245421.32241561005,237631.68814114764,1884.8557808968546,2198.010098611815,1697.6019735582286,1843.8982209871506,195761.01832560424,227751.04860765656,223582.10098313363,0
8996.773593575796,2149.8530083993273,1638.3994985813442,8162.276048257959,141548.32776391227,247771.13340124505,226800.7624042,1331.0479372508835,2093.8120239098525,1837.8731888250088,1587.4071323483208,205948.90832243787,227124.30288173197,223183.83764907802,0
7726.6746514732395,1854.4440815915364,1769.446121650705,6432.771461140378,173859.44821667374,245310.6494228296,218559.8015678591,990.1997334389755,1914.5996742707312,1640.267232654481,1033.7596678350149,215469.0598597696,226614.04169100217,223047.5720320761,0
1676.6672679993537,9207.392097641421,2358.3223281251885,9119.431719725666,241423.95871194897,111456.19501389246,241782.14521015418,1706.3908711112192,2259.4679509331295,2161.7335249862117,1608.4024954011518,223952.68396093912,194534.10010426724,227676.3518003938,1
1742.4044958718334,9254.609520410791,2129.2168444736635,9054.112848100032,241269.79075845808,111507.22543482624,242110.78419547284,1673.5028499039308,2278.465618569722,2006.635165718762,1597.949023890186,223750.35695386486,194544.831218409,227739.2356125169,1
1791.2799880653536,9261.39882483704,2036.0734219297892,9065.638763425144,238463.6473322531,114287.02199925337,243895.8774216091,1669.078918555288,2068.3442534607752,2220.8403455188577,1490.9221632970794,223707.1988525853,196257.31631510088,227978.56926491187,1
1637.5032149540264,8758.994056743679,2176.5514763287033,8037.08733824954,226777.04947363675,141916.2429997835,247644.21984824457,1799.2713024072673,1473.96956560704,1927.4157691063292,1614.8267147802906,222878.03160105125,206084.1870028375,227321.17020218854,1
1829.3777436599487,7700.7898924082965,2073.933888778278,6285.5102217747435,218872.8229878021,173549.04925111626,245273.99096939096,1728.2471825237983,1121.7055700740448,1981.135025510142,1151.950051274494,223009.97026123054,215778.83535407032,226673.1815258886,1
2202.9276684358156,1711.6739330316625,9515.999550816012,9129.921208248883,242764.7057362146,240826.44038593257,110867.11815366095,2064.8443121313844,1800.5803161068495,1977.6509096417983,1567.658184128125,227707.35684768335,223808.54968741484,193967.5709379492,2
2012.893320450047,1735.3714660285639,9591.737459663458,9004.750137924095,242458.6033056639,241157.37627776922,110774.81695076196,2244.0391869635423,1737.5291162468911,2158.3850125898903,1742.1968632260414,227731.46996488253,223747.56932331863,193989.55309707107,2
1967.9756163866073,1800.9425178745914,9921.106872277982,9199.294290377484,244990.2241346947,237914.35275829205,112963.79606545268,2100.9638474068747,1954.4624577267311,1685.9359084655619,1544.2988497400274,227859.25173434848,223369.60966770517,195728.48789320918,2
2056.290009645915,1683.1560756574052,9092.112249425685,8240.62594234661,247415.59486524382,226477.0723193184,141975.25059296913,2078.3379267020464,1679.882646505846,1746.3233656660716,1253.5121295686818,227347.80550351128,223044.36888546855,205988.58256772615,2
2055.00472885026,1788.916592974417,7533.969509560402,6156.41385874617,245338.69888261985,218838.80391336232,173505.14977793428,2132.700522990331,1597.8457481527073,900.9513482648774,1184.6100163289898,226558.20973081607,222958.10985039294,215720.36907529272,2
15789.458414781282,13960.642975556499,2007.5946938021623,114.63116472673858,123197.15281865092,131780.0966132295,222680.9539951373,3182.2932970421634,4951.986675628911,2175.4365879946554,-41.43536205956792,192309.35027077742,172743.14003311415,224626.900796372,3
15898.770041039103,14093.465486822737,1886.171702085389,-19.32517610801621,122119.43101417951,131713.8445847865,222593.22369691636,2798.0511097956155,4699.468151883063,1938.6845220178968,16.824665700960495,194142.48601279935,173344.33709169674,224754.77428041512,3
15914.813282790405,14038.979403866902,1972.159124968002,73.51747385775909,131943.30157927788,122987.77421270023,222538.16910063778,2736.269833607779,4631.469254747536,1924.4793011658476,214.22647785348104,199240.20207387887,172896.699170205,224712.78552673434,3
14739.16172818869,13088.829309898141,1766.1093161984807,85.13212878076884,177026.41089386365,107487.10274979263,222632.54087491994,1563.9123826023929,3700.189928674678,1773.1800569126403,30.79718668713607,216203.88081673277,178956.39267950063,224650.62747222764,3
