Month,Day,Hour,Open,High,Low,Close,Volume,OCChPrc,HLChPrc,HLAvg,HLAvg_1HrChPrc,HLAvg_2HrChPrc,HLAvg_3HrChPrc,HLAvg_4HrChPrc,HLAvg_5HrChPrc,HLAvg_1_2HrChPrc,Vol_3HrStd,HLAvg_3HrStd,HLAvg_5HrStd,HLAvg_5Hr,HL10HrAvg,Max10HrHLAvg_Fwd_High_ChPrc,Buy_or_not
09,01,0,103.08,103.12,103.04,103.09,2.255500059,-0.009700262,0.077639752,103.08,0,0,0,0,0,0,0,0,0,103.08,103.08,0.096974399,0
09,01,1,103.09,103.27,103.09,103.23,7.766000278,-0.13561949,0.174604714,103.18,0.097012029,0,0,0,0,0,3.896512073,0.070710678,0.070710678,103.13,103.13,-0.048416772,0
09,01,2,103.24,103.25,103.19,103.24,8.979500319,0,0.058145169,103.22,0.038767203,0.135816841,0,0,0,0.097012029,3.583535836,0.072111026,0.072111026,103.16,103.16,-0.033898305,0
09,01,3,103.24,103.27,103.16,103.16,2.905000088,0.077549438,0.106630477,103.215,-0.004844022,0.033921303,0.13096624,0,0,0.038767203,3.214588057,0.021794495,0.064983972,103.17375,103.17375,-0.087150189,0
09,01,4,103.16,103.16,103.15,103.15,1.025000026,0.009694619,0.009694619,103.155,-0.058131086,-0.062972292,-0.024229502,0.072759022,0,-0.004844022,4.157483779,0.036170891,0.056899033,103.17,103.17,0.019387359,0
09,01,5,103.16,103.22,103.14,103.21,3.190500101,-0.048444918,0.077564475,103.18,0.024235374,-0.0339098,-0.03875218,0,0.097012029,-0.058131086,1.176527452,0.030138569,0.027156951,103.19,103.1716667,-0.116256539,0
09,01,6,103.22,103.22,102.9,102.9,10.74300035,0.310981535,0.310981535,103.06,-0.116301609,-0.092094421,-0.150171971,-0.155008719,-0.116301609,0.024235374,5.101783689,0.0633114,0.064942282,103.166,103.1557143,-0.116256539,0
09,01,7,102.89,103.08,102.79,102.96,28.89850096,-0.067987568,0.282128612,102.935,-0.12128857,-0.237449118,-0.213271291,-0.271278399,-0.276109281,-0.116301609,13.21340084,0.122508503,0.112993363,103.109,103.128125,0.019402406,0
09,01,8,102.96,103.12,102.8,103.11,48.7165016,-0.145475706,0.311284047,102.96,0.024287172,-0.097030856,-0.213219616,-0.189035917,-0.247057114,-0.12128857,18.99281509,0.066143783,0.110713594,103.058,103.1094444,-0.01939488,0
09,01,9,103.11,103.19,102.93,103.04,28.46400094,0.067934783,0.252598854,103.06,0.097125097,0.121435858,0,-0.116301609,-0.092094421,0.024287172,11.5693973,0.066143783,0.097236824,103.039,103.1045,-0.087217754,0
09,01,10,103.04,103.08,102.93,103.08,15.2140005,-0.038804812,0.145730108,103.005,-0.053366971,0.043706294,0.06800408,-0.053366971,-0.169606513,0.097125097,16.87277825,0.050083264,0.056942954,103.004,103.097,0.019402406,0
09,01,11,103.08,103.16,102.99,103.11,16.27650054,-0.029095141,0.165064569,103.075,0.067957866,0.014554628,0.111693862,0.13600816,0.014554628,-0.053366971,7.362365829,0.036855574,0.060889244,103.007,103.0865,-0.058162078,0
