15000 4
1,4820936 2,1.836061239 3,0.949127793 4,0.634077549
1,3426099 2,1.968737602 3,1.026715875 4,0.685980558
1,15053090 2,1.813608527 3,0.970761895 4,0.654280603
1,19420807 2,2.078212976 3,0.922549963 4,0.666689515
1,9249217 2,1.726060271 3,0.941939175 4,0.642969906
1,1020480 2,2.031547546 3,1.0227741 4,0.679569006
1,2196486 2,1.594332099 3,0.982570171 4,0.629317045
1,17055332 2,2.01651454 3,1.000038862 4,0.655370057
1,1741977 2,2.053781509 3,1.023538351 4,0.676030159
1,19431876 2,2.081778765 3,0.941793084 4,0.660474658
1,2237994 2,1.773760796 3,0.952445865 4,0.630020142
1,1998659 2,1.74928689 3,0.994878113 4,0.63061136
1,11017040 2,1.838926196 3,0.985348344 4,0.649037182
1,7738527 2,1.966103673 3,0.976470053 4,0.688086092
1,19241730 2,1.919194102 3,0.924238145 4,0.66738987
1,1765112 2,2.0533216 3,0.998933673 4,0.677331746
1,2513376 2,1.989248872 3,0.999848545 4,0.6813218
1,16418566 2,2.153394222 3,1.014363885 4,0.660810053
1,17335562 2,1.978145719 3,1.016088128 4,0.659860909
1,18553380 2,2.078382254 3,1.000144243 4,0.66467458
1,5406373 2,1.909076095 3,0.993623257 4,0.636500359
1,7147496 2,1.804039359 3,0.96789217 4,0.637959957
1,8363088 2,1.874089718 3,0.976880431 4,0.640636802
1,1302661 2,2.212560654 3,1.016179562 4,0.673602223
1,7818669 2,1.821849465 3,0.990403533 4,0.685912669
1,6751391 2,1.938318372 3,0.985247254 4,0.682932854
1,15723835 2,1.887846947 3,0.96387583 4,0.656830847
1,3035035 2,2.12310648 3,1.022700548 4,0.681405544
1,6035317 2,1.992130876 3,0.962293506 4,0.68570447
1,4126322 2,1.754819512 3,0.9728567 4,0.632212698
1,9663450 2,1.952309012 3,0.945822179 4,0.642599821
1,6629977 2,1.802854419 3,0.990321755 4,0.687334299
1,15724441 2,1.963928342 3,0.974299073 4,0.655590355
1,4211270 2,1.828336596 3,0.967692077 4,0.633680642
1,7298681 2,1.912915111 3,0.986183286 4,0.690963089
1,9022837 2,1.882703662 3,0.959474623 4,0.688738704
1,2232157 2,1.795918345 3,0.989435315 4,0.628541172
1,15903117 2,2.103235245 3,1.024105191 4,0.656695187
1,2868866 2,2.026297808 3,1.008435369 4,0.68237251
1,14495363 2,1.756300449 3,0.96385473 4,0.652430058
1,1982501 2,1.711990595 3,0.941780806 4,0.632473469
1,10871601 2,2.132188559 3,0.972638845 4,0.649021626
1,20455384 2,2.026329756 3,0.967639983 4,0.670767665
1,16961693 2,2.109868288 3,1.004585266 4,0.659160674
1,20591547 2,1.976539254 3,0.953552783 4,0.671609938
1,20546573 2,1.954816937 3,0.955454051 4,0.670325518
1,3784866 2,1.760108829 3,0.97346884 4,0.631608248
1,2460217 2,1.7340343 3,0.995897055 4,0.632802606
1,11960161 2,1.791684031 3,0.921354949 4,0.647337675
1,9514851 2,1.85458529 3,0.946339905 4,0.642548501
1,1836095 2,1.965653181 3,0.998327494 4,0.679909527
1,4941539 2,1.799380064 3,0.953321755 4,0.640770376
1,91858 2,1.713020444 3,0.967914104 4,0.626363993
1,6080291 2,2.067374706 3,0.985859334 4,0.688444734
1,6654692 2,1.850517511 3,1.011624336 4,0.636021554
1,17362321 2,2.006246567 3,1.007353306 4,0.659985662
1,2823069 2,2.012150288 3,1.002778411 4,0.683235168
1,19240674 2,1.846096635 3,0.94786787 4,0.66520679
1,6468523 2,1.861448884 3,0.963016331 4,0.68498987
1,1163471 2,2.148535967 3,1.015466213 4,0.675934851
1,6448936 2,1.845486879 3,0.991705418 4,0.637433112
1,16344651 2,2.017401218 3,1.028407574 4,0.653998494
1,602537 2,2.092348099 3,1.027554393 4,0.673504055
1,10761527 2,1.913663745 3,0.996995628 4,0.644509494
1,17593568 2,2.002861023 3,1.004338264 4,0.657609165
1,7340786 2,1.835164785 3,0.996390045 4,0.688172579
1,3541734 2,1.841591597 3,0.96959424 4,0.687373877
1,2460000 2,2.023884773 3,1.002342105 4,0.682504773
1,10757878 2,1.858605623 3,0.996908605 4,0.648479939
1,8243165 2,1.961111069 3,0.936249614 4,0.68671912
1,20085 2,2.002896309 3,1.008776307 4,0.67177701
1,2456134 2,2.027623177 3,1.00570786 4,0.680015564
1,14420811 2,1.919855475 3,0.982242465 4,0.651520252
1,2524617 2,2.006531477 3,1.004011273 4,0.678895473
1,6825859 2,1.658854961 3,0.969971418 4,0.635053217
1,15833558 2,1.904235721 3,1.01015079 4,0.659065366
1,8232442 2,1.966544271 3,0.953767836 4,0.689570248
1,31032 2,1.791281939 3,0.970440388 4,0.62781024
1,19202513 2,2.137480974 3,1.00307858 4,0.660911679
1,18766399 2,2.071074963 3,1.000755191 4,0.666039884
1,1797111 2,2.002321005 3,0.981768847 4,0.678274572
1,3038886 2,2.107480288 3,1.002748728 4,0.683438599
1,18814354 2,2.007483244 3,1.006106138 4,0.666249812
1,8245622 2,1.954226017 3,0.949274838 4,0.687259734
1,12090236 2,1.846691489 3,0.942568958 4,0.648380637
1,16844622 2,2.044056892 3,1.014355659 4,0.659305513
1,4137594 2,1.805709362 3,0.964271486 4,0.632973075
1,1045626 2,1.972253323 3,1.00377357 4,0.675162196
1,6439622 2,1.84012866 3,0.962165892 4,0.686728776
1,1873371 2,1.584092379 3,0.97406888 4,0.628089249
