264 14
1,9674.7728586593 2,2233.5933249023287 3,1837.136220015578 4,9363.835516873174 5,108217.48711616737 6,242963.74648151887 7,241391.13402508834 8,2218.5171153523092 9,2191.143872321112 10,1813.454625266701 11,1664.7872346569914 12,192841.65112541057 13,227736.2642855186 14,223762.9618582958
1,9689.863010365249 2,2232.4311974787033 3,1836.1252194654744 4,9364.971792098351 5,108249.49912145521 6,243084.27503225493 7,241264.14140630802 8,2205.4686816181224 9,2189.7562640406795 10,1812.8208352858633 11,1665.155855071862 12,192915.99884919482 13,227738.2825982144 14,223750.43461112177
1,9928.124115063365 2,2225.673348283879 3,1823.8333319577046 4,9501.168136196518 5,108913.90514342125 6,244758.52584937934 7,239533.28064251383 8,2111.770367588259 9,2178.015038183234 10,1806.3712327962526 11,1692.8930801394827 12,193691.42469251752 13,227738.73916571762 14,223638.36136090255
1,9890.380206556227 2,2219.8306910319448 3,1812.0888521381498 4,9528.959834479627 5,121655.03261670998 6,247001.2033155529 7,233473.75834092396 8,2147.164050191975 9,2173.2732736122407 10,1798.4404440233104 11,1677.4415605682711 12,199018.55810216875 13,227544.02329258792 14,223191.06011534852
1,9119.604736236373 2,2167.480358154346 3,1829.1855690279385 4,8307.205532930437 5,141732.18784315055 6,248281.17501845 7,226357.30661746158 8,1633.8545035477803 9,2121.707696472857 10,1820.8676404789146 11,1463.15157478659 12,205676.8823662881 13,227232.15055742793 14,222877.55438667478
1,7693.584308317665 2,2095.126019424033 3,1875.227101542341 4,6359.723517433401 5,174129.1170549999 6,245410.2588454925 7,218422.35329281303 8,1110.4677777196073 9,2054.2246823471005 10,1875.4757363141648 11,1123.5085058756436 12,215578.01125548262 13,226468.31030825735 14,222898.3476416244
1,6590.32968090824 2,2059.5197965880857 3,1917.1913504747906 4,5002.159867251845 5,192246.24716445335 6,241243.60162512207 7,215788.54658327973 8,1065.118791558736 9,2024.4177842871275 10,1914.4603594215016 11,883.3476422086602 12,220762.91333452187 13,225906.66809485562 14,223118.85876420364
1,5783.2308244600945 2,2042.4201596713526 3,1942.3582821324178 4,4067.5936376150044 5,201980.2554458111 6,237864.16601682064 7,215502.190153968 8,1168.5747813597395 9,2011.7788853023255 10,1940.0173390700186 11,717.6536027055237 12,223097.13826623466 13,225563.9539368181 14,223359.84643433988
1,5192.93089112239 2,2033.4814655486853 3,1958.3372292662852 4,3405.7500917262623 5,207768.70011497874 6,235313.52568370785 7,215662.000372917 8,1282.6812878081632 9,2006.4401384921182 10,1956.834167655827 11,600.2749085415294 12,224178.59234405088 13,225353.7130214402 14,223561.64111916817
1,4755.214326928621 2,2029.7536236636931 3,1972.296148937248 4,2914.4289453801857 5,211129.1989705863 6,233390.53629384656 7,216059.10497201525 8,1377.1487600380299 9,2003.970169191418 10,1967.931160071389 11,514.687206285819 12,224597.34684609502 13,225229.54275533627 14,223727.48020108556
1,4417.762927707613 2,2027.707856230142 3,1981.8994288022375 4,2541.8679752972143 5,213579.34896696924 6,231964.33085105836 7,216570.80517202406 8,1453.3294021658337 9,2002.9759477775401 10,1975.8304256797594 11,449.7010560079729 12,224953.88066130565 13,225127.19112298332 14,223844.56890594575
1,4148.568792394072 2,2025.8812957189114 3,1988.2060002507155 4,2251.0301481417105 5,215384.86904963542 6,230850.9933254784 7,217041.12125417855 8,1515.4737070730403 9,2002.838455086406 10,1981.7669798796574 11,398.56587868660887 12,225220.7083238516 13,225042.31444320784 14,223934.28073330532
1,3932.7098148932864 2,2024.737186373192 3,1993.1590776647527 4,2019.028549966169 5,216647.82105337002 6,229935.6074212109 7,217434.32828813358 8,1566.8254020870766 9,2003.1261812946555 10,1986.3453469250273 11,357.0684505052256 12,225421.5851101765 13,224973.98382607792 14,224007.17022184544
