10000,0.0,3.0,0.0,3.0,0.0,3.0
15000,5.0,2.0,5.0,2.0,5.0,2.0
10000,10.0,4.0,5.0,3.0,3.0,3.0
10000,1.0,1.0,10.0,1.0,0.0,2.0
5000,20.0,4.0,20.0,5.0,10.0,4.0
1000,0.0,0.05,1.0,0.01,-1.0,0.03
4000,2.0,2.0,1.0,0.02,10.0,1.0
1000,7.0,3.0,5.0,3.0,6.0,3.0
1000,1.0,0.01,-10.0,0.05,4.0,1.0
10000,2.0,1.0,0.01,0.01,4.0,0.05
10000,6.5,1.0,0.0,0.15,-5.0,0.7
10000,50.0,5.0,0.0,3.0,10.0,3.0
10000,20.0,3.0,10.0,3.0,50.0,3.0
10000,-10.0,1.0,-10.0,3.0,0.0,3.0
10000,20.0,3.0,10.0,3.0,50.0,3.0
10000,12.0,2.0,8.0,3.0,100.0,5.0
10000,0.05,0.01,10.0,0.09,20.0,4.0
10000,100.0,3.0,0.0,3.0,100.0,3.0
10000,90.0,3.0,4.0,3.0,-10.0,3.0
10000,-20.0,3.0,-10.0,3.0,0.0,3.0
#GAUSSIAN_VALUE=7218966.83769
